epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,7973.83,1.53067,1.06829,1.0496,0.54084,0.28774,0.26608,0.13201,1.49079,1.0394,1.04177,0.007228,0.007228,0.007228
16,8503.17,1.52125,1.05488,1.04345,0.51966,0.29049,0.28804,0.14475,1.48475,1.02765,1.03577,0.00703,0.00703,0.00703
17,9032.52,1.51928,1.04503,1.03961,0.39503,0.33754,0.29125,0.14666,1.46542,0.99737,1.02381,0.006832,0.006832,0.006832
18,9563.69,1.50921,1.03426,1.04252,0.52511,0.27098,0.26703,0.1333,1.4868,1.00497,1.03171,0.006634,0.006634,0.006634
19,10095.3,1.4977,1.02657,1.03505,0.38955,0.30221,0.28079,0.14006,1.47529,1.03142,1.0291,0.006436,0.006436,0.006436
20,10628.1,1.49663,1.0206,1.02931,0.59753,0.29885,0.29075,0.14876,1.47318,1.00091,1.02743,0.006238,0.006238,0.006238
21,11159.4,1.46836,1.00728,1.02575,0.46422,0.29518,0.27656,0.14108,1.48214,1.01476,1.03391,0.00604,0.00604,0.00604
22,11689.3,1.47325,1.00334,1.02427,0.42396,0.32013,0.29601,0.15536,1.44817,0.97217,1.02009,0.005842,0.005842,0.005842
23,12225.7,1.47254,0.99834,1.02602,0.38222,0.33665,0.28808,0.14983,1.45383,0.99344,1.01933,0.005644,0.005644,0.005644
24,12759,1.47103,0.99305,1.02003,0.55077,0.30034,0.30116,0.15425,1.45364,0.9662,1.02164,0.005446,0.005446,0.005446
25,13291.2,1.45665,0.97895,1.01553,0.44804,0.32871,0.30504,0.16166,1.42671,0.94316,1.00582,0.005248,0.005248,0.005248
26,13822.9,1.4549,0.96583,1.01276,0.39898,0.34889,0.3097,0.15853,1.43463,0.96509,1.01057,0.00505,0.00505,0.00505
27,14354.5,1.45121,0.96586,1.01441,0.46525,0.30863,0.30094,0.15367,1.43572,0.95732,1.00932,0.004852,0.004852,0.004852
28,14885.9,1.44196,0.96222,1.01003,0.42341,0.32345,0.30113,0.15416,1.42445,0.94442,1.01052,0.004654,0.004654,0.004654
29,15417.2,1.43948,0.94811,1.00497,0.40937,0.33225,0.31456,0.16377,1.43814,0.94406,1.00829,0.004456,0.004456,0.004456
30,15949.1,1.43045,0.94134,1.00255,0.39573,0.34755,0.30552,0.15791,1.41608,0.93839,1.00529,0.004258,0.004258,0.004258
31,16481.5,1.42199,0.93221,1.00229,0.45836,0.33365,0.32278,0.16837,1.41291,0.94094,1.00446,0.00406,0.00406,0.00406
32,17012.9,1.42326,0.93421,1.00254,0.45432,0.35099,0.31818,0.165,1.41222,0.92145,1.00232,0.003862,0.003862,0.003862
33,17545.3,1.41304,0.92479,0.9973,0.42986,0.35285,0.32509,0.17163,1.39519,0.91102,0.99451,0.003664,0.003664,0.003664
34,18077.8,1.41258,0.91254,0.99092,0.44361,0.33668,0.33323,0.17584,1.39243,0.89508,0.99465,0.003466,0.003466,0.003466
35,18610,1.39074,0.91199,0.99273,0.43978,0.36161,0.33863,0.17602,1.39341,0.89397,0.99655,0.003268,0.003268,0.003268
36,19138.7,1.38096,0.88991,0.98788,0.45651,0.34507,0.3418,0.18437,1.39007,0.89329,0.99252,0.00307,0.00307,0.00307
37,19669.8,1.39116,0.90295,0.99081,0.47356,0.3657,0.34591,0.18026,1.39333,0.90193,0.99257,0.002872,0.002872,0.002872
38,20202.6,1.37647,0.88769,0.98608,0.4246,0.37511,0.34631,0.18198,1.40102,0.8886,0.99226,0.002674,0.002674,0.002674
39,20734.5,1.38852,0.89052,0.98585,0.43286,0.37645,0.34073,0.17862,1.37998,0.88779,0.99004,0.002476,0.002476,0.002476
40,21266.8,1.36943,0.8747,0.98388,0.46069,0.37494,0.35431,0.18878,1.37574,0.87368,0.98761,0.002278,0.002278,0.002278
41,21790,1.38721,0.86969,0.98515,0.4816,0.34778,0.34192,0.18194,1.38206,0.88451,0.98928,0.00208,0.00208,0.00208
42,22312.5,1.37167,0.85512,0.98238,0.52096,0.33596,0.35663,0.19036,1.38599,0.87926,0.98743,0.001882,0.001882,0.001882
43,22835.1,1.37388,0.84749,0.98145,0.47308,0.37323,0.35349,0.18886,1.37839,0.86938,0.99004,0.001684,0.001684,0.001684
44,23358,1.36203,0.84549,0.97877,0.46987,0.37547,0.36004,0.19254,1.37408,0.86497,0.98349,0.001486,0.001486,0.001486
45,23881.7,1.35495,0.83237,0.97645,0.47273,0.35888,0.35256,0.1866,1.37305,0.86062,0.98291,0.001288,0.001288,0.001288
46,24404.6,1.35397,0.82636,0.97452,0.41761,0.3919,0.35896,0.19161,1.37789,0.86427,0.98353,0.00109,0.00109,0.00109
47,24928,1.34642,0.81792,0.97061,0.41817,0.38644,0.3557,0.18946,1.36705,0.85953,0.98294,0.000892,0.000892,0.000892
48,25452.7,1.33984,0.81253,0.96725,0.43687,0.38975,0.35568,0.18712,1.36508,0.85731,0.979,0.000694,0.000694,0.000694
49,25975.3,1.33233,0.80674,0.96522,0.47623,0.37825,0.37155,0.19878,1.35872,0.84942,0.97908,0.000496,0.000496,0.000496
50,26497,1.32838,0.79829,0.96558,0.45614,0.40122,0.37407,0.20059,1.35336,0.84267,0.97759,0.000298,0.000298,0.000298
