epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.943,1.84061,1.72802,1.16748,0.45367,0.16249,0.09558,0.04308,1.97755,1.9469,1.28326,0.00331183,0.00331183,0.0701935
2,1069.63,1.86513,1.48861,1.19088,0.40803,0.12442,0.09999,0.04602,1.99375,1.75126,1.2856,0.00651359,0.00651359,0.040062
3,1602.41,1.80713,1.41942,1.16992,0.5006,0.18552,0.14092,0.06657,1.80133,1.52774,1.17498,0.00958335,0.00958335,0.0097984
4,2134.3,1.7527,1.34638,1.14942,0.36357,0.18249,0.15163,0.06954,1.7541,1.41751,1.17127,0.009406,0.009406,0.009406
5,2665.06,1.72393,1.29047,1.13785,0.54358,0.2039,0.1771,0.08449,1.73551,1.30964,1.14904,0.009208,0.009208,0.009208
6,3196.14,1.66679,1.23603,1.1131,0.53481,0.21316,0.18408,0.08895,1.65755,1.30811,1.12969,0.00901,0.00901,0.00901
7,3727.64,1.66528,1.2215,1.10934,0.53456,0.23805,0.22344,0.1101,1.63009,1.17664,1.09016,0.008812,0.008812,0.008812
8,4258.84,1.63632,1.18053,1.09399,0.41431,0.25483,0.22333,0.1131,1.57728,1.15635,1.07558,0.008614,0.008614,0.008614
9,4788.26,1.60792,1.15046,1.08362,0.53078,0.24511,0.2196,0.10651,1.59136,1.16747,1.08272,0.008416,0.008416,0.008416
10,5318.43,1.59652,1.14736,1.08277,0.42093,0.28018,0.22875,0.11174,1.55358,1.10981,1.07671,0.008218,0.008218,0.008218
11,5848.47,1.58511,1.12691,1.0714,0.36467,0.27507,0.24951,0.1265,1.5702,1.12845,1.07768,0.00802,0.00802,0.00802
12,6378.88,1.56603,1.10723,1.06491,0.4951,0.28296,0.26379,0.13096,1.52778,1.07839,1.0663,0.007822,0.007822,0.007822
13,6910.24,1.55847,1.10552,1.06109,0.33808,0.30581,0.24952,0.1262,1.53149,1.07715,1.04887,0.007624,0.007624,0.007624
14,7441.24,1.55416,1.09501,1.05601,0.45564,0.27554,0.25248,0.12,1.57543,1.09725,1.06514,0.007426,0.007426,0.007426
