epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.827,1.81059,1.69707,1.16681,0.31803,0.13359,0.0971,0.04185,2.03594,1.93272,1.32167,0.00331183,0.00331183,0.0701935
2,1069.25,1.84202,1.45786,1.19687,0.45843,0.11169,0.09058,0.04234,1.98312,1.86301,1.33132,0.00651359,0.00651359,0.040062
3,1602.79,1.80337,1.37889,1.16755,0.48021,0.16853,0.12203,0.0579,1.79003,1.70887,1.20244,0.00958335,0.00958335,0.0097984
4,2139.35,1.75419,1.31865,1.14374,0.4956,0.18077,0.15825,0.07373,1.77836,1.36687,1.17608,0.009406,0.009406,0.009406
5,2673.3,1.68873,1.24622,1.12125,0.56158,0.18212,0.16727,0.08012,1.68094,1.31241,1.15221,0.009208,0.009208,0.009208
6,3209.96,1.64725,1.18996,1.10506,0.45905,0.2271,0.22724,0.11214,1.61858,1.16029,1.09939,0.00901,0.00901,0.00901
7,3744.78,1.64058,1.18375,1.10099,0.40251,0.22836,0.20797,0.10129,1.60774,1.22415,1.09994,0.008812,0.008812,0.008812
8,4276.31,1.6168,1.16044,1.08721,0.2724,0.26553,0.21243,0.10328,1.59841,1.1588,1.09656,0.008614,0.008614,0.008614
9,4806.67,1.58967,1.11665,1.07539,0.36103,0.25792,0.23029,0.11326,1.57838,1.15901,1.08269,0.008416,0.008416,0.008416
10,5334.57,1.57419,1.11839,1.0686,0.32779,0.28778,0.25057,0.1255,1.56809,1.09029,1.07214,0.008218,0.008218,0.008218
11,5864.3,1.56918,1.10451,1.06605,0.39235,0.27314,0.25666,0.13006,1.53844,1.07768,1.06161,0.00802,0.00802,0.00802
12,6388.81,1.54675,1.08311,1.05803,0.34812,0.30777,0.25541,0.131,1.52677,1.04835,1.05348,0.007822,0.007822,0.007822
13,6911.05,1.52817,1.06272,1.04933,0.34372,0.30162,0.26606,0.1331,1.5266,1.04338,1.05276,0.007624,0.007624,0.007624
14,7432.56,1.51261,1.04455,1.04289,0.34107,0.26321,0.24339,0.12233,1.54908,1.07044,1.07288,0.007426,0.007426,0.007426
15,7953.84,1.52259,1.0562,1.04661,0.48214,0.27749,0.26361,0.13519,1.484,1.02769,1.03972,0.007228,0.007228,0.007228
16,8477.18,1.51109,1.02925,1.03895,0.50993,0.26988,0.28602,0.14477,1.48179,0.99474,1.03686,0.00703,0.00703,0.00703
17,8998.96,1.50581,1.02036,1.03463,0.4792,0.29118,0.28958,0.14471,1.47953,1.00476,1.03647,0.006832,0.006832,0.006832
18,9519.87,1.49089,1.01278,1.03048,0.40631,0.31476,0.29488,0.14879,1.462,0.98286,1.02851,0.006634,0.006634,0.006634
19,10043.2,1.46898,0.99286,1.02248,0.40778,0.32782,0.29683,0.15157,1.46086,0.97991,1.02393,0.006436,0.006436,0.006436
20,10567.5,1.48852,0.99989,1.03252,0.43368,0.31473,0.29123,0.15074,1.47606,0.99014,1.03559,0.006238,0.006238,0.006238
21,11090.4,1.47014,0.97519,1.02022,0.47271,0.31901,0.31311,0.16126,1.45644,0.96821,1.02392,0.00604,0.00604,0.00604
22,11613.5,1.46628,0.97299,1.01582,0.44048,0.32218,0.30645,0.15738,1.44202,0.96546,1.01249,0.005842,0.005842,0.005842
23,12136.1,1.44739,0.96345,1.01313,0.47276,0.336,0.31879,0.1633,1.43606,0.96678,1.01736,0.005644,0.005644,0.005644
24,12663,1.44805,0.95297,1.01095,0.46048,0.32561,0.31417,0.15921,1.43249,0.94822,1.01721,0.005446,0.005446,0.005446
25,13186.2,1.43611,0.94247,1.00274,0.4517,0.33354,0.31058,0.16069,1.43645,0.94876,1.01188,0.005248,0.005248,0.005248
26,13709.2,1.43553,0.94957,1.00683,0.46946,0.3372,0.31866,0.1677,1.43041,0.93087,1.01268,0.00505,0.00505,0.00505
27,14231.4,1.42655,0.93407,1.00786,0.45507,0.34671,0.31996,0.16352,1.43061,0.93571,1.01111,0.004852,0.004852,0.004852
28,14753.3,1.42666,0.93694,1.00297,0.49922,0.33455,0.33075,0.16861,1.42582,0.92302,1.00734,0.004654,0.004654,0.004654
29,15276.3,1.42731,0.92788,1.00254,0.43376,0.3671,0.33833,0.17733,1.41642,0.93567,1.00864,0.004456,0.004456,0.004456
30,15799,1.41331,0.91201,0.99894,0.45158,0.3377,0.33641,0.17733,1.42077,0.92165,1.00075,0.004258,0.004258,0.004258
31,16322.1,1.41111,0.91706,0.99585,0.44479,0.37054,0.33661,0.17687,1.4156,0.91908,1.00992,0.00406,0.00406,0.00406
32,16845.1,1.40399,0.89782,0.99248,0.42907,0.35298,0.34361,0.17947,1.40477,0.90727,1.00224,0.003862,0.003862,0.003862
33,17367,1.39892,0.90326,0.99665,0.45605,0.33325,0.33118,0.1728,1.40496,0.90614,0.99723,0.003664,0.003664,0.003664
34,17913.4,1.39482,0.89454,0.98954,0.49459,0.34527,0.35295,0.18711,1.39183,0.90095,0.99345,0.003466,0.003466,0.003466
35,18435.7,1.38458,0.88195,0.98831,0.50613,0.3632,0.35527,0.18896,1.38818,0.88185,0.99641,0.003268,0.003268,0.003268
36,18958.6,1.3788,0.88205,0.98826,0.48012,0.3577,0.36118,0.18823,1.3925,0.88665,0.99307,0.00307,0.00307,0.00307
37,19481.6,1.38135,0.87708,0.98818,0.49833,0.34494,0.35546,0.19017,1.38376,0.87774,0.98885,0.002872,0.002872,0.002872
38,20003.6,1.3579,0.86015,0.97784,0.51485,0.37116,0.37552,0.20055,1.38008,0.8791,0.98483,0.002674,0.002674,0.002674
39,20527.2,1.37236,0.85793,0.98115,0.4411,0.35384,0.35513,0.19194,1.37462,0.87924,0.98606,0.002476,0.002476,0.002476
40,21049.8,1.36432,0.85033,0.978,0.46286,0.35722,0.35305,0.18745,1.39183,0.87936,0.9936,0.002278,0.002278,0.002278
41,21562.7,1.37452,0.8571,0.98099,0.49782,0.34288,0.34624,0.18552,1.39394,0.88279,0.99649,0.00208,0.00208,0.00208
42,22075.8,1.36787,0.84161,0.9821,0.47614,0.38987,0.3692,0.19412,1.38947,0.88004,0.99197,0.001882,0.001882,0.001882
43,22589.7,1.35992,0.8319,0.97725,0.49135,0.36347,0.36777,0.19678,1.38515,0.86389,0.99182,0.001684,0.001684,0.001684
44,23103.1,1.35694,0.82219,0.97569,0.52177,0.36738,0.37127,0.19971,1.37559,0.86685,0.98885,0.001486,0.001486,0.001486
45,23616.3,1.35127,0.81993,0.97528,0.52549,0.35515,0.37272,0.20117,1.3774,0.86174,0.98797,0.001288,0.001288,0.001288
46,24130.5,1.3459,0.80888,0.96702,0.49013,0.36639,0.37359,0.20014,1.36652,0.85605,0.98439,0.00109,0.00109,0.00109
47,24645.3,1.33105,0.80007,0.96638,0.47026,0.39336,0.37727,0.20347,1.36489,0.85349,0.98485,0.000892,0.000892,0.000892
48,25162.2,1.32842,0.7921,0.96684,0.5197,0.34958,0.36929,0.19922,1.36109,0.85302,0.98303,0.000694,0.000694,0.000694
49,25677,1.32286,0.78805,0.96314,0.51595,0.36691,0.38048,0.20558,1.35633,0.84677,0.98127,0.000496,0.000496,0.000496
50,26191.8,1.32174,0.78217,0.96153,0.48923,0.39093,0.38338,0.20772,1.36056,0.84209,0.9828,0.000298,0.000298,0.000298
