epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.081,1.84061,1.72802,1.16748,0.45367,0.16249,0.09558,0.04308,1.97755,1.9469,1.28326,0.00331183,0.00331183,0.0701935
2,1081.65,1.86513,1.48861,1.19088,0.40803,0.12442,0.09999,0.04602,1.99375,1.75126,1.2856,0.00651359,0.00651359,0.040062
3,1625.31,1.80713,1.41942,1.16992,0.5006,0.18552,0.14092,0.06657,1.80133,1.52774,1.17498,0.00958335,0.00958335,0.0097984
4,2165.77,1.75373,1.34656,1.14891,0.3954,0.1828,0.16022,0.07419,1.73753,1.3547,1.15556,0.009406,0.009406,0.009406
5,2706.26,1.7202,1.29631,1.13873,0.55173,0.20623,0.18285,0.08771,1.68732,1.27576,1.12766,0.009208,0.009208,0.009208
6,3245.27,1.67073,1.23737,1.1131,0.51689,0.21593,0.19998,0.09739,1.64936,1.23598,1.12054,0.00901,0.00901,0.00901
7,3782.58,1.65005,1.21226,1.10287,0.54244,0.20854,0.18746,0.09139,1.62788,1.20544,1.10715,0.008812,0.008812,0.008812
8,4316.79,1.62511,1.17757,1.09038,0.34158,0.26169,0.22348,0.10684,1.59012,1.18952,1.07864,0.008614,0.008614,0.008614
9,4851.11,1.59901,1.15103,1.07972,0.39445,0.27869,0.22509,0.10962,1.59223,1.11901,1.07545,0.008416,0.008416,0.008416
10,5384.74,1.58911,1.13914,1.07928,0.34381,0.25122,0.21125,0.10368,1.59188,1.17439,1.0766,0.008218,0.008218,0.008218
11,5917.32,1.58339,1.13036,1.06843,0.40727,0.27412,0.24467,0.12408,1.60667,1.12613,1.09458,0.00802,0.00802,0.00802
12,6447.78,1.56369,1.10916,1.06399,0.44987,0.27983,0.24725,0.12508,1.52862,1.07229,1.06231,0.007822,0.007822,0.007822
13,6980.27,1.55365,1.09827,1.05965,0.34492,0.31115,0.24734,0.12264,1.53288,1.06997,1.05997,0.007624,0.007624,0.007624
14,7513.9,1.54994,1.09306,1.05258,0.38975,0.28774,0.26639,0.13157,1.54094,1.09502,1.05486,0.007426,0.007426,0.007426
15,8054.52,1.53147,1.07328,1.04996,0.40915,0.30021,0.26404,0.13084,1.49549,1.05814,1.0383,0.007228,0.007228,0.007228
16,8598.91,1.5243,1.06115,1.04193,0.5214,0.292,0.27857,0.1419,1.47429,1.01013,1.03048,0.00703,0.00703,0.00703
17,9145.07,1.51633,1.04112,1.03798,0.3844,0.29609,0.27276,0.13939,1.47827,1.01038,1.02952,0.006832,0.006832,0.006832
18,9688.89,1.51461,1.03909,1.04144,0.43575,0.29233,0.26591,0.13392,1.48159,1.01442,1.03164,0.006634,0.006634,0.006634
19,10234.8,1.49819,1.02814,1.03522,0.41739,0.30854,0.28837,0.14732,1.48314,1.03505,1.03048,0.006436,0.006436,0.006436
20,10781.8,1.49212,1.01446,1.0258,0.60228,0.28971,0.28097,0.14249,1.48042,1.00886,1.02165,0.006238,0.006238,0.006238
21,11328.1,1.46766,1.00359,1.02388,0.59872,0.28237,0.28026,0.14315,1.47263,1.00161,1.02088,0.00604,0.00604,0.00604
