epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,11860.5,1.47403,1.00138,1.02522,0.40249,0.33314,0.29745,0.15149,1.46891,0.99354,1.02501,0.005842,0.005842,0.005842
23,12392.2,1.47588,0.99615,1.0255,0.40576,0.30045,0.29158,0.14866,1.45067,0.97144,1.01209,0.005644,0.005644,0.005644
24,12929,1.47169,0.9949,1.01854,0.54825,0.30705,0.29681,0.15436,1.45472,0.9582,1.02583,0.005446,0.005446,0.005446
25,13464.9,1.45604,0.97759,1.01568,0.46236,0.32825,0.30492,0.16121,1.42826,0.94096,1.01044,0.005248,0.005248,0.005248
26,13996.1,1.45193,0.96371,1.01135,0.43232,0.32244,0.30295,0.1537,1.43396,0.95465,1.01223,0.00505,0.00505,0.00505
27,14527.6,1.45367,0.96422,1.01319,0.436,0.3264,0.31607,0.1619,1.44538,0.95303,1.01261,0.004852,0.004852,0.004852
28,15059.7,1.44093,0.9574,1.00996,0.46638,0.33352,0.30197,0.15702,1.42177,0.93964,1.00577,0.004654,0.004654,0.004654
29,15591,1.43634,0.94561,1.00375,0.44534,0.34194,0.32387,0.16751,1.41346,0.92226,1.00036,0.004456,0.004456,0.004456
30,16125,1.42431,0.93851,0.99966,0.40812,0.33026,0.31987,0.16729,1.41906,0.9366,1.00653,0.004258,0.004258,0.004258
31,16658.7,1.42316,0.92965,1.00284,0.42069,0.34996,0.33062,0.17459,1.41268,0.92628,1.00253,0.00406,0.00406,0.00406
32,17193.3,1.42485,0.9322,1.00119,0.50675,0.31593,0.32023,0.16705,1.40925,0.92436,1.00035,0.003862,0.003862,0.003862
33,17726.3,1.41179,0.92181,0.99641,0.41797,0.36255,0.3302,0.17535,1.40027,0.90361,0.99604,0.003664,0.003664,0.003664
34,18260,1.41674,0.91568,0.99203,0.4664,0.36663,0.34254,0.18157,1.39207,0.89408,0.99354,0.003466,0.003466,0.003466
35,18795.4,1.39083,0.91163,0.9942,0.44697,0.36842,0.34299,0.17807,1.39078,0.88886,0.99111,0.003268,0.003268,0.003268
36,19327.5,1.38223,0.88868,0.98776,0.44828,0.35221,0.34728,0.1824,1.38984,0.89103,0.99363,0.00307,0.00307,0.00307
37,19859.6,1.39016,0.90213,0.99188,0.52742,0.34892,0.354,0.18455,1.39249,0.8986,0.99248,0.002872,0.002872,0.002872
38,20394.2,1.37721,0.88752,0.98528,0.47702,0.3571,0.35013,0.1838,1.39683,0.88929,0.99327,0.002674,0.002674,0.002674
39,20928.2,1.38673,0.88898,0.98465,0.43345,0.38618,0.348,0.18479,1.38067,0.88884,0.98854,0.002476,0.002476,0.002476
40,21462.5,1.37211,0.87734,0.98313,0.48412,0.38396,0.36773,0.19584,1.38224,0.8769,0.98835,0.002278,0.002278,0.002278
41,21989.2,1.38846,0.87356,0.98416,0.47228,0.34352,0.34883,0.18329,1.38966,0.88195,0.99159,0.00208,0.00208,0.00208
42,22520.6,1.3711,0.85652,0.98127,0.48274,0.37511,0.35828,0.18722,1.38921,0.88232,0.98756,0.001882,0.001882,0.001882
43,23050,1.37106,0.84468,0.98095,0.50754,0.35277,0.35921,0.18988,1.38494,0.87096,0.99038,0.001684,0.001684,0.001684
44,23579.5,1.36295,0.84143,0.97971,0.52842,0.34761,0.35888,0.19091,1.38096,0.87218,0.98851,0.001486,0.001486,0.001486
45,24105.6,1.35913,0.83299,0.97973,0.47274,0.39318,0.36714,0.19464,1.37784,0.8632,0.98562,0.001288,0.001288,0.001288
46,24629.6,1.35208,0.82809,0.97442,0.47353,0.37323,0.3669,0.19307,1.37324,0.86459,0.98415,0.00109,0.00109,0.00109
47,25153.6,1.34663,0.81432,0.97198,0.49928,0.36764,0.37004,0.19389,1.37017,0.86043,0.98397,0.000892,0.000892,0.000892
48,25678.4,1.34015,0.81105,0.96779,0.4982,0.38123,0.37297,0.19814,1.36755,0.85774,0.97944,0.000694,0.000694,0.000694
49,26204,1.33134,0.80607,0.96607,0.47793,0.39355,0.3751,0.19744,1.36338,0.85299,0.98108,0.000496,0.000496,0.000496
50,26727.9,1.32917,0.79976,0.96643,0.48209,0.39725,0.37601,0.19935,1.36294,0.84714,0.9807,0.000298,0.000298,0.000298
